{'delta': 0.026249999999999999, 'M1': 0.5, 'r2': 0.508}
{'delta': 0.026249999999999999, 'M1': 0.5, 'r2': 0.508}
{'delta': 0.026249999999999999, 'M1': 0.5, 'r2': 0.508}
{'delta': 0.026249999999999999, 'M1': 0.5, 'r2': 0.508}
{'delta': 0.026249999999999999, 'M1': 0.5, 'r2': 0.508}
{'delta': 0.026249999999999999, 'M1': 0.5, 'r2': 0.508}
{'delta': 0.026249999999999999, 'M1': 0.5, 'r2': 0.508}
{'delta': 0.026249999999999999, 'M1': 0.5, 'r2': 0.508}
{'delta': 0.026249999999999999, 'M1': 0.5, 'r2': 0.508}
{'delta': 0.026249999999999999, 'M1': 0.5, 'r2': 0.508}
{'delta': 0.026249999999999999, 'M1': 0.5, 'r2': 0.508}
{'delta': 0.026239999999999999, 'M1': 0.5, 'r2': 0.509}
{'delta': 0.026239999999999999, 'M1': 0.5, 'r2': 0.509}
{'delta': 0.026239999999999999, 'M1': 0.5, 'r2': 0.509}
{'delta': 0.026239999999999999, 'M1': 0.5, 'r2': 0.509}
{'delta': 0.026239999999999999, 'M1': 0.5, 'r2': 0.509}
{'delta': 0.026239999999999999, 'M1': 0.5, 'r2': 0.509}
{'delta': 0.026239999999999999, 'M1': 0.5, 'r2': 0.509}
{'delta': 0.026239999999999999, 'M1': 0.5, 'r2': 0.509}
{'delta': 0.026239999999999999, 'M1': 0.5, 'r2': 0.509}
{'delta': 0.026239999999999999, 'M1': 0.5, 'r2': 0.509}
{'delta': 0.026239999999999999, 'M1': 0.5, 'r2': 0.509}
{'delta': 0.026239999999999999, 'M1': 0.5, 'r2': 0.509}
{'delta': 0.026239999999999999, 'M1': 0.5, 'r2': 0.509}
{'delta': 0.026239999999999999, 'M1': 0.5, 'r2': 0.509}
{'delta': 0.026239999999999999, 'M1': 0.5, 'r2': 0.509}
{'delta': 0.026239999999999999, 'M1': 0.5, 'r2': 0.51}
{'delta': 0.026239999999999999, 'M1': 0.5, 'r2': 0.51}
{'delta': 0.026239999999999999, 'M1': 0.5, 'r2': 0.51}
{'delta': 0.026239999999999999, 'M1': 0.5, 'r2': 0.51}
{'delta': 0.026239999999999999, 'M1': 0.5, 'r2': 0.51}
{'delta': 0.026239999999999999, 'M1': 0.5, 'r2': 0.51}
{'delta': 0.026239999999999999, 'M1': 0.5, 'r2': 0.51}
{'delta': 0.026239999999999999, 'M1': 0.5, 'r2': 0.51}
{'delta': 0.026239999999999999, 'M1': 0.5, 'r2': 0.51}
{'delta': 0.026239999999999999, 'M1': 0.5, 'r2': 0.51}
{'delta': 0.026239999999999999, 'M1': 0.5, 'r2': 0.51}
{'delta': 0.026239999999999999, 'M1': 0.5, 'r2': 0.51}
{'delta': 0.026239999999999999, 'M1': 0.5, 'r2': 0.51}
{'delta': 0.026239999999999999, 'M1': 0.5, 'r2': 0.51}
{'delta': 0.026239999999999999, 'M1': 0.5, 'r2': 0.51}
{'delta': 0.02623, 'M1': 0.5, 'r2': 0.511}
{'delta': 0.02623, 'M1': 0.5, 'r2': 0.511}
{'delta': 0.02623, 'M1': 0.5, 'r2': 0.511}
{'delta': 0.02623, 'M1': 0.5, 'r2': 0.511}
{'delta': 0.02623, 'M1': 0.5, 'r2': 0.511}
{'delta': 0.02623, 'M1': 0.5, 'r2': 0.511}
{'delta': 0.02623, 'M1': 0.5, 'r2': 0.511}
{'delta': 0.02623, 'M1': 0.5, 'r2': 0.511}
{'delta': 0.02623, 'M1': 0.5, 'r2': 0.511}
{'delta': 0.02623, 'M1': 0.5, 'r2': 0.511}
{'delta': 0.02623, 'M1': 0.5, 'r2': 0.511}
{'delta': 0.02623, 'M1': 0.5, 'r2': 0.511}
{'delta': 0.02623, 'M1': 0.5, 'r2': 0.511}
{'delta': 0.02623, 'M1': 0.5, 'r2': 0.511}
{'delta': 0.02623, 'M1': 0.5, 'r2': 0.511}
{'delta': 0.02622, 'M1': 0.5, 'r2': 0.512}
{'delta': 0.02622, 'M1': 0.5, 'r2': 0.512}
{'delta': 0.02622, 'M1': 0.5, 'r2': 0.512}
{'delta': 0.02622, 'M1': 0.5, 'r2': 0.512}
{'delta': 0.02622, 'M1': 0.5, 'r2': 0.512}
{'delta': 0.02622, 'M1': 0.5, 'r2': 0.512}
{'delta': 0.02622, 'M1': 0.5, 'r2': 0.512}
{'delta': 0.02622, 'M1': 0.5, 'r2': 0.512}
{'delta': 0.02622, 'M1': 0.5, 'r2': 0.512}
{'delta': 0.02622, 'M1': 0.5, 'r2': 0.512}
{'delta': 0.02622, 'M1': 0.5, 'r2': 0.512}
{'delta': 0.02622, 'M1': 0.5, 'r2': 0.512}
{'delta': 0.02622, 'M1': 0.5, 'r2': 0.512}
{'delta': 0.02622, 'M1': 0.5, 'r2': 0.512}
{'delta': 0.02622, 'M1': 0.5, 'r2': 0.512}
{'delta': 0.026210000000000001, 'M1': 0.5, 'r2': 0.513}
{'delta': 0.026210000000000001, 'M1': 0.5, 'r2': 0.513}
{'delta': 0.026210000000000001, 'M1': 0.5, 'r2': 0.513}
{'delta': 0.026210000000000001, 'M1': 0.5, 'r2': 0.513}
{'delta': 0.026210000000000001, 'M1': 0.5, 'r2': 0.513}
{'delta': 0.026210000000000001, 'M1': 0.5, 'r2': 0.513}
{'delta': 0.026210000000000001, 'M1': 0.5, 'r2': 0.513}
{'delta': 0.026210000000000001, 'M1': 0.5, 'r2': 0.513}
{'delta': 0.026210000000000001, 'M1': 0.5, 'r2': 0.513}
{'delta': 0.026210000000000001, 'M1': 0.5, 'r2': 0.513}
{'delta': 0.026210000000000001, 'M1': 0.5, 'r2': 0.513}
{'delta': 0.026210000000000001, 'M1': 0.5, 'r2': 0.513}
{'delta': 0.026210000000000001, 'M1': 0.5, 'r2': 0.513}
{'delta': 0.026210000000000001, 'M1': 0.5, 'r2': 0.513}
{'delta': 0.026210000000000001, 'M1': 0.5, 'r2': 0.513}
{'delta': 0.026210000000000001, 'M1': 0.5, 'r2': 0.514}
{'delta': 0.026210000000000001, 'M1': 0.5, 'r2': 0.514}
{'delta': 0.026210000000000001, 'M1': 0.5, 'r2': 0.514}
{'delta': 0.026210000000000001, 'M1': 0.5, 'r2': 0.514}
{'delta': 0.026210000000000001, 'M1': 0.5, 'r2': 0.514}
{'delta': 0.026210000000000001, 'M1': 0.5, 'r2': 0.514}
{'delta': 0.026210000000000001, 'M1': 0.5, 'r2': 0.514}
{'delta': 0.026210000000000001, 'M1': 0.5, 'r2': 0.514}
{'delta': 0.026210000000000001, 'M1': 0.5, 'r2': 0.514}
{'delta': 0.026210000000000001, 'M1': 0.5, 'r2': 0.514}
{'delta': 0.026210000000000001, 'M1': 0.5, 'r2': 0.514}
{'delta': 0.026210000000000001, 'M1': 0.5, 'r2': 0.514}
{'delta': 0.026210000000000001, 'M1': 0.5, 'r2': 0.514}
{'delta': 0.026210000000000001, 'M1': 0.5, 'r2': 0.514}
{'delta': 0.026210000000000001, 'M1': 0.5, 'r2': 0.514}
{'delta': 0.026200000000000001, 'M1': 0.5, 'r2': 0.515}
{'delta': 0.026200000000000001, 'M1': 0.5, 'r2': 0.515}
{'delta': 0.026200000000000001, 'M1': 0.5, 'r2': 0.515}
{'delta': 0.026200000000000001, 'M1': 0.5, 'r2': 0.515}
