{'delta': 0.031809999999999998, 'M1': 0.1, 'r2': 0.509}
{'delta': 0.031809999999999998, 'M1': 0.1, 'r2': 0.509}
{'delta': 0.031809999999999998, 'M1': 0.1, 'r2': 0.509}
{'delta': 0.031809999999999998, 'M1': 0.1, 'r2': 0.509}
{'delta': 0.031809999999999998, 'M1': 0.1, 'r2': 0.509}
{'delta': 0.031809999999999998, 'M1': 0.1, 'r2': 0.509}
{'delta': 0.031809999999999998, 'M1': 0.1, 'r2': 0.509}
{'delta': 0.031809999999999998, 'M1': 0.1, 'r2': 0.509}
{'delta': 0.031809999999999998, 'M1': 0.1, 'r2': 0.509}
{'delta': 0.031809999999999998, 'M1': 0.1, 'r2': 0.509}
{'delta': 0.031809999999999998, 'M1': 0.1, 'r2': 0.509}
{'delta': 0.031809999999999998, 'M1': 0.1, 'r2': 0.509}
{'delta': 0.031809999999999998, 'M1': 0.1, 'r2': 0.509}
{'delta': 0.031809999999999998, 'M1': 0.1, 'r2': 0.509}
{'delta': 0.031809999999999998, 'M1': 0.1, 'r2': 0.509}
{'delta': 0.031780000000000003, 'M1': 0.1, 'r2': 0.51}
{'delta': 0.031780000000000003, 'M1': 0.1, 'r2': 0.51}
{'delta': 0.031780000000000003, 'M1': 0.1, 'r2': 0.51}
{'delta': 0.031780000000000003, 'M1': 0.1, 'r2': 0.51}
{'delta': 0.031780000000000003, 'M1': 0.1, 'r2': 0.51}
{'delta': 0.031780000000000003, 'M1': 0.1, 'r2': 0.51}
{'delta': 0.031780000000000003, 'M1': 0.1, 'r2': 0.51}
{'delta': 0.031780000000000003, 'M1': 0.1, 'r2': 0.51}
{'delta': 0.031780000000000003, 'M1': 0.1, 'r2': 0.51}
{'delta': 0.031780000000000003, 'M1': 0.1, 'r2': 0.51}
{'delta': 0.031780000000000003, 'M1': 0.1, 'r2': 0.51}
{'delta': 0.031780000000000003, 'M1': 0.1, 'r2': 0.51}
{'delta': 0.031780000000000003, 'M1': 0.1, 'r2': 0.51}
{'delta': 0.031780000000000003, 'M1': 0.1, 'r2': 0.51}
{'delta': 0.031780000000000003, 'M1': 0.1, 'r2': 0.51}
{'delta': 0.031739999999999997, 'M1': 0.1, 'r2': 0.511}
{'delta': 0.031739999999999997, 'M1': 0.1, 'r2': 0.511}
{'delta': 0.031739999999999997, 'M1': 0.1, 'r2': 0.511}
{'delta': 0.031739999999999997, 'M1': 0.1, 'r2': 0.511}
